"","rowid","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","Q3","Q4","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q18","Q19","Q20","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26","Q27","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q33","Q34","Q35","grad_year","practice_type","Q3_lic_pract","grad_year_cat","AABP","AASV","AASRP","AVMA","AAAP","AVC","StateVMA","Foreign","AABP_AVC","Beef_Cattle","Dairy_Cattle","Swine","Sheep","Chickens","Goats","Turkeys","beef_dairy","sheep_goat","chicken_turkey","Q7_cost","Q7_efficacy_safety","Q7_applied_practically","Q7_regulatory_issues","Q7_human_resistance","Q7_animal_resistance","Q7_client_preference","Q7_human_importance","Q9_AST_before","Q10_AST_after","Q11_AST_monitor_disease","Q12_AST_monitor_foodborne","Q13_monitor_path_disease","Q14_monitor_zoo_path","Q15_cost","Q15_time","Q15_not_useful","Q15_unsure_application","Q17_spectrum","Q17_compare_efficacy","Q17_combined_therapy","Q17_AST","Q17_resist_select","Q17_ancillary_therapy","Q17_post_treat_interval","Q17_duration_therapy","Q17_treatment_outcome","certificate_program","Q21_antimicrobial_discontinue_old_client","Q22_risk_relation_morbidity_spike_old_client","Q23_risk_relation_morbidity_spike_new_client","Q24_repro_perform","Q24_econ_perform","Q24_disease_incid","Q24_amu","Q24_treat_outcome","Q25_repro_perform","Q25_econ_perform","Q25_disease_incid","Q25_amu","Q25_treat_outcome","Q26_expand_routine_analysis","Q27_not_applicable","Q27_lack_data","Q27_unwilling_compensate","Q27_unwilling_share_data","Q27_few_animals","Q27_unsure_returns","Q27_not_priority","Q27_no_time","Q28_not_applicable","Q28_lack_data","Q28_unsure_returns","Q28_no_time","Q31_confidential_report_amu","Q32_AVMA_principles","Q32_AVMA_checklist","Q32_AABP_key_elements","Q32_joint_AABP_AVC","Q32_AASV_guidelines","Q32_AASRP_guidelines","Q32_AAAP_guidelines","Q33_need_amu_info","Q34_FARAD","Q34_textbook","Q34_web_search","Q34_literature_search","Q34_CE_notes","Q34_vet_school_notes","Q34_vet_assoc","Q34_pharma_company","Q34_university_contact","Q34_product_label","Q34_reg_doc","Q34_colleague","Q34_listserv","Q34_social_media"
"193",195,"6/8/2021 7:49","6/8/2021 8:12","IP Address","*******","100","1422","TRUE","6/8/2021 8:12","R_3oFIuRUl5THDOvW","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1977","Yes","A major component of my private practice is serving food animal clients as a consultant.","AABP - American Association of Bovine Practitioners,AVC - Academy of Veterinary Consultants,AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","A very minor component","Important, but not a major component","Historical record of antibiotic use and success in the production situation.","Occasionally (6-15% of cases)","Often (> 20% of cases)","Rarely (1-5% of clients)","Rarely (1-5% of clients)",NA,NA,"Cost,Turnaround time,I am unsure about the correct application of the results","Ease and expense of accurate antemortem sampling.","Confident","Low confidence","Low confidence","Low confidence","Low confidence","Confident","Confident","Confident","Confident","Yes, up to 10 hours commitment","Moderate","Slight","Willing but concerned about possible negative consequences","High risk","High risk","> 50%","26-50%","> 50%","Some, 6-25%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I read it, cannot recall contents","I read it: no practical guidance","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I was unaware of the document","I am aware of the document but have not read it","More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague","Can information gathered from some of the mentioned efforts in this survey be useful in tempering the increasing regulatory pressure on development and use of antimicrobials in food animal medicine?",1977,"Consultant","Yes","<1987",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Important","Major","Major","Major","Important","Important","Minor","Important","Occasionally","Often","Rarely","Rarely",NA,NA,TRUE,TRUE,FALSE,TRUE,"Confident","Low Confidence","Low Confidence","Low Confidence","Low Confidence","Confident","Confident","Confident","Confident","10 hrs","Willing but concerned","High risk","High risk","> 50%","26-50%","> 50%","6-25%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","cannot recall content","no practical guidance","cannot recall content","cannot recall content","cannot recall content","unaware","have not read",">5",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"194",196,"6/8/2021 12:32","6/8/2021 12:43","IP Address","*******","100","635","TRUE","6/8/2021 12:43","R_2OVIpHs8aBJmSWG","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2011","Yes","Owner or Staff veterinarian within a food animal production system","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine,Chickens","Important, but not a major component","Important, but not a major component","Important, but not a major component","A major component of my decision process","A very minor component","Important, but not a major component","A very minor component","A major component of my decision process",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)",NA,NA,"No","No","Turnaround time,I am unsure about the correct application of the results",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Confident","Confident","Very confident","Yes, up to 20 hours commitment","Moderate","Slight",NA,NA,NA,NA,NA,NA,NA,NA,"I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,NA,"This question is not applicable, I review the appropriate relevant data for the flocks/herds under my care,Lack of appropriate data system for collection and reporting",NA,NA,"Definitely yes","I read it: limited practical guidance","I read it: no practical guidance","I read it: limited practical guidance","I am aware of the document but have not read it","I was unaware of the document",NA,"I was unaware of the document","More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,Continuing education proceedings, notes, or presentations,Veterinary association guidance,A product label",NA,2011,"Staff Vet","Yes","2011-2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Important","Important","Important","Major","Minor","Important","Minor","Major","Rarely","Occasionally","Unknown","Unknown","No","No",FALSE,TRUE,FALSE,TRUE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Confident","Confident","Very confident","20 hrs","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Definitely yes","limited practical guidance","no practical guidance","limited practical guidance","have not read","unaware","Unknown","unaware",">5",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"195",197,"6/8/2021 13:48","6/8/2021 14:01","IP Address","*******","100","833","TRUE","6/8/2021 14:01","R_231tGmzqQY5dtoU","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1985","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Not considered","Not considered","A major component of my decision process","Not considered",NA,"Rarely (1-5% of cases)","Never","Never","Never",NA,NA,"Cost,Turnaround time,I don't think the results are useful information",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Low confidence","Low confidence","Confident","Yes, up to 10 hours commitment","Slight","Slight","Willing but concerned about possible negative consequences","Slight risk","Slight risk","> 50%","26-50%","26-50%","Some, 6-25%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value",NA,NA,NA,"Possibly","I read it: limited practical guidance","I read it: no practical guidance","I read it, cannot recall contents","I am aware of the document but have not read it",NA,NA,NA,"1-2 times","A textbook, drug handbook or other hard copy resource,Contacting a pharmaceutical company representative,A product label",NA,1985,"Food Animal Practice","Yes","<1987",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Important","Major","None","None","Major","None","Rarely","Never","Never","Never",NA,NA,TRUE,TRUE,TRUE,FALSE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Low Confidence","Low Confidence","Confident","10 hrs","Willing but concerned","Slight risk","Slight risk","> 50%","26-50%","26-50%","6-25%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","limited practical guidance","no practical guidance","cannot recall content","have not read","Unknown","Unknown","Unknown","1-2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"196",198,"6/8/2021 15:04","6/8/2021 15:16","IP Address","*******","100","685","TRUE","6/8/2021 15:16","R_aXy8JdGh1tBJFnP","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2015","Yes","Private general practice","AABP - American Association of Bovine Practitioners","Dairy cattle,Beef cattle,Sheep,Goats","A very minor component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","Important, but not a major component","A very minor component","Important, but not a major component",NA,"Rarely (1-5% of cases)","Often (> 20% of cases)","Never","Never",NA,NA,"Cost,I do not perceive any of these as barriers",NA,"Confident","Confident","Low confidence","Confident","Low confidence","Low confidence","Confident","Confident","Confident","Yes, up to 20 hours commitment","Slight","Moderate","Willing but concerned about possible negative consequences","Moderate risk","No risk","Some, 6-25%","A few, < 5%","A few, < 5%","None","A few, < 5%",NA,NA,NA,NA,NA,"Yes","The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I was unaware of the document","I am aware of the document but have not read it","I was unaware of the document",NA,"I was unaware of the document",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,Continuing education proceedings, notes, or presentations,Veterinary association guidance,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label",NA,2015,"Private General Practice","Yes","2011-2016",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Minor","Major","Important","Major","Important","Important","Minor","Important","Rarely","Often","Never","Never",NA,NA,TRUE,FALSE,FALSE,FALSE,"Confident","Confident","Low Confidence","Confident","Low Confidence","Low Confidence","Confident","Confident","Confident","20 hrs","Willing but concerned","Moderate risk","No risk","6-25%","< 5%","< 5%","None","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","unaware","have not read","unaware","Unknown","unaware","Unknown",">5",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"197",199,"6/8/2021 15:41","6/8/2021 16:03","IP Address","*******","100","1343","TRUE","6/8/2021 16:03","R_3ozT3c4Zab2B1rh","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1980","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","Not considered","A major component of my decision process","A major component of my decision process","milk and meat withholding time","Never","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Turnaround time,I don't think the results are useful information",NA,"Confident","Confident","Confident","Low confidence","Low confidence","Confident","Confident","Low confidence","Confident","Yes, up to 40 hours commitment","Slight","Significant","Willing but concerned about possible negative consequences","High risk","High risk","> 50%","None","Some, 6-25%","None","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Definitely yes","I read it, cannot recall contents","I read it, cannot recall contents","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document","More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,Continuing education proceedings, notes, or presentations,Vet School notes,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague","Most of the drug decision making is done by online or catalog sales where a veterinarian working with an online company makes a annual visit to  establish a vet client patient relationship, leaves a treatment protocol book and markets product. I may get asked for advice occasionally. I am utilized more for issueing VFDs.",1980,"Food Animal Practice","Yes","<1987",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Major","Major","Major","Major","Major","None","Major","Major","Never","Occasionally","Never","Never",NA,NA,FALSE,TRUE,TRUE,FALSE,"Confident","Confident","Confident","Low Confidence","Low Confidence","Confident","Confident","Low Confidence","Confident","40 hrs","Willing but concerned","High risk","High risk","> 50%","None","6-25%","None","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","cannot recall content","cannot recall content","unaware","unaware","unaware","unaware","unaware",">5",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"198",200,"6/8/2021 17:22","6/8/2021 17:34","IP Address","*******","100","723","TRUE","6/8/2021 17:34","R_3fiQ0YEliwDWO0p","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1973","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle","A very minor component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","Important, but not a major component","Important, but not a major component","IN my case in beef cattle intended for feedlot we are asked not to use draxxin because that is their first choice","Never","Rarely (1-5% of cases)","Never","Rarely (1-5% of clients)",NA,NA,"Cost,I don't think the results are useful information,I am unsure about the correct application of the results","no","Confident","Confident","Low confidence","Confident","Low confidence","Very confident","Very confident","Very confident","Very confident","No","Moderate","Slight","Willing without hesitation","Moderate risk","Moderate risk","> 50%","None","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","This question is not applicable, I review the appropriate relevant data for all of my clients",NA,NA,NA,"No","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I read it: no practical guidance",NA,NA,NA,"None or rarely","Continuing education proceedings, notes, or presentations,Veterinary association guidance,A product label,An organization listserv",NA,1973,"Food Animal Practice","Yes","<1987",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Minor","Major","Major","Major","Important","Important","Important","Important","Never","Rarely","Never","Rarely",NA,NA,TRUE,FALSE,TRUE,TRUE,"Confident","Confident","Low Confidence","Confident","Low Confidence","Very confident","Very confident","Very confident","Very confident","No","Willing without hesitation","Moderate risk","Moderate risk","> 50%","None","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No","cannot recall content","cannot recall content","cannot recall content","no practical guidance","Unknown","Unknown","Unknown","None",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"199",201,"6/8/2021 18:44","6/8/2021 18:50","IP Address","*******","100","347","TRUE","6/8/2021 18:50","R_3rG17giPoUGmikH","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1985","Yes","Private general practice","AASRP - American Association of Small Ruminant Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine,Sheep,Goats,Chickens","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Rarely (1-5% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Very confident","Confident","Confident","Yes, up to 20 hours commitment","Moderate","Slight","Unwilling","Moderate risk","High risk","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Definitely yes","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I was unaware of the document","I was unaware of the document","I am aware of the document but have not read it","I am aware of the document but have not read it","3-5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine",NA,1985,"Private General Practice","Yes","<1987",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Important","Major","Major","Major","Important","Major","Important","Major","Rarely","Occasionally","Rarely","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Very confident","Confident","Confident","20 hrs","Unwilling","Moderate risk","High risk","< 5%","< 5%","< 5%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","cannot recall content","cannot recall content","cannot recall content","unaware","unaware","have not read","have not read","3-5",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"200",202,"6/8/2021 18:54","6/8/2021 19:01","IP Address","*******","100","425","TRUE","6/8/2021 19:01","R_1f0BapQtbHdhCrD","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2004","Yes","Private general practice","AASRP - American Association of Small Ruminant Practitioners,AVMA - American Veterinary Medical Association","Beef cattle,Swine,Sheep,Goats","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","A very minor component","Not considered","A major component of my decision process","A very minor component","Availability - what I already have on the truck, or what I can get easily from my regular supplier","Rarely (1-5% of cases)","Rarely (1-5% of cases)","Never","Never",NA,NA,"Cost,Turnaround time",NA,"Confident","Confident","Low confidence","Confident","Low confidence","Very confident","Confident","Very confident","Very confident","Yes, up to 10 hours commitment","Moderate","Slight","Willing without hesitation","Slight risk","High risk","> 50%","A few, < 5%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","This question is not applicable, I review the appropriate relevant data for all of my clients",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document","I was unaware of the document","I read it, cannot recall contents",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,A product label,An organization listserv",NA,2004,"Private General Practice","Yes","2000-2010",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Important","Major","Important","Minor","None","Major","Minor","Rarely","Rarely","Never","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Confident","Confident","Low Confidence","Confident","Low Confidence","Very confident","Confident","Very confident","Very confident","10 hrs","Willing without hesitation","Slight risk","High risk","> 50%","< 5%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","have not read","unaware","unaware","unaware","cannot recall content","Unknown",">5",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"201",203,"6/8/2021 19:41","6/8/2021 19:48","IP Address","*******","100","450","TRUE","6/8/2021 19:48","R_6fnx7wc1iecsVe9","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2007","Yes","Private general practice","AABP - American Association of Bovine Practitioners,AASRP - American Association of Small Ruminant Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","Important, but not a major component","Important, but not a major component",NA,"Rarely (1-5% of cases)","Rarely (1-5% of cases)","Rarely (1-5% of clients)","Rarely (1-5% of clients)",NA,NA,"Cost,Turnaround time",NA,"Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Yes, up to 20 hours commitment","Slight","Slight","Unwilling","High risk","High risk","26-50%","26-50%","26-50%","Some, 6-25%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client doesn't have the time or this process is not a priority",NA,NA,NA,"No","I read it: limited practical guidance","I read it: limited practical guidance","I am aware of the document but have not read it","I am aware of the document but have not read it","I read it: limited practical guidance","I am aware of the document but have not read it","I am aware of the document but have not read it","None or rarely","A textbook, drug handbook or other hard copy resource,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label",NA,2007,"Private General Practice","Yes","2000-2010",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Important","Major","Major","Major","Important","Important","Important","Important","Rarely","Rarely","Rarely","Rarely",NA,NA,TRUE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","20 hrs","Unwilling","High risk","High risk","26-50%","26-50%","26-50%","6-25%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"No","limited practical guidance","limited practical guidance","have not read","have not read","limited practical guidance","have not read","have not read","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"202",204,"6/8/2021 19:43","6/8/2021 19:54","IP Address","*******","100","681","TRUE","6/8/2021 19:54","R_pn2Ln82THIcnOoh","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2004","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AASRP - American Association of Small Ruminant Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Sheep,Goats","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process","A very minor component","Important, but not a major component",NA,"Never","Rarely (1-5% of cases)","Rarely (1-5% of clients)","Never",NA,NA,"Cost,Turnaround time,I don't think the results are useful information",NA,"Confident","Confident","Confident","Low confidence","Low confidence","Confident","Confident","Confident","Confident","No","Moderate","Slight","Willing but concerned about possible negative consequences","Moderate risk","Slight risk","> 50%","Some, 6-25%","Some, 6-25%","None","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I was unaware of the document","I was unaware of the document","I am aware of the document but have not read it","I was unaware of the document",NA,"I was unaware of the document",NA,"3-5 times","Food Animal Residue Avoidance Databank (FARAD),A web search,A product label,An organization listserv,Social media",NA,2004,"Food Animal Practice","Yes","2000-2010",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Important","Major","Important","Major","Minor","Important","Never","Rarely","Rarely","Never",NA,NA,TRUE,TRUE,TRUE,FALSE,"Confident","Confident","Confident","Low Confidence","Low Confidence","Confident","Confident","Confident","Confident","No","Willing but concerned","Moderate risk","Slight risk","> 50%","6-25%","6-25%","None","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","unaware","unaware","have not read","unaware","Unknown","unaware","Unknown","3-5",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
